Country,A/HRC/RES/55/28,A/HRC/RES/55/30,A/HRC/RES/55/32,A/HRC/RES/58/2,A/HRC/RES/58/27,A/HRC/RES/58/28,# of Ys,# of Ns,# of As
AFGHANISTAN,,,,,,,0,0,0
ALBANIA,A,A,A,A,Y,A,1,0,5
ALGERIA,Y,Y,Y,Y,Y,Y,6,0,0
ANDORRA,,,,,,,0,0,0
ANGOLA,,,,,,,0,0,0
ANTIGUA AND BARBUDA,,,,,,,0,0,0
ARGENTINA,N,A,A,,,,0,1,2
ARMENIA,,,,,,,0,0,0
AUSTRALIA,,,,,,,0,0,0
AUSTRIA,,,,,,,0,0,0
AZERBAIJAN,,,,,,,0,0,0
BAHAMAS,,,,,,,0,0,0
BAHRAIN,,,,,,,0,0,0
BANGLADESH,Y,Y,Y,Y,Y,Y,6,0,0
BARBADOS,,,,,,,0,0,0
BELARUS,,,,,,,0,0,0
BELGIUM,Y,Y,Y,Y,Y,Y,6,0,0
BELIZE,,,,,,,0,0,0
BENIN,A,Y,Y,A,Y,Y,4,0,2
BHUTAN,,,,,,,0,0,0
BOLIVIA,,,,Y,Y,Y,3,0,0
BOSNIA AND HERZEGOVINA,,,,,,,0,0,0
BOTSWANA,,,,,,,0,0,0
BRAZIL,Y,Y,Y,Y,Y,Y,6,0,0
BRUNEI DARUSSALAM,,,,,,,0,0,0
BULGARIA,N,Y,A,A,Y,A,2,1,3
BURKINA FASO,,,,,,,0,0,0
BURUNDI,Y,Y,Y,A,Y,Y,5,0,1
CABO VERDE,,,,,,,0,0,0
CAMBODIA,,,,,,,0,0,0
CAMEROON,A,A,A,,,,0,0,3
CANADA,,,,,,,0,0,0
CENTRAL AFRICAN REPUBLIC,,,,,,,0,0,0
CHAD,,,,,,,0,0,0
CHILE,Y,Y,Y,Y,Y,Y,6,0,0
CHINA,Y,Y,Y,Y,Y,Y,6,0,0
COLOMBIA,,,,Y,Y,Y,3,0,0
COMOROS,,,,,,,0,0,0
CONGO,,,,,,,0,0,0
COSTA RICA,A,Y,Y,Y,Y,Y,5,0,1
COTE D'IVOIRE,Y,Y,Y,Y,Y,Y,6,0,0
CROATIA,,,,,,,0,0,0
CUBA,Y,Y,Y,Y,Y,Y,6,0,0
CYPRUS,,,,A,Y,Y,2,0,1
CZECHIA,,,,N,N,N,0,3,0
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,,,,,,,0,0,0
DEMOCRATIC REPUBLIC OF THE CONGO,,,,A,A,A,0,0,3
DENMARK,,,,,,,0,0,0
DJIBOUTI,,,,,,,0,0,0
DOMINICA,,,,,,,0,0,0
DOMINICAN REPUBLIC,A,Y,Y,A,A,A,2,0,4
ECUADOR,,,,,,,0,0,0
EGYPT,,,,,,,0,0,0
EL SALVADOR,,,,,,,0,0,0
EQUATORIAL GUINEA,,,,,,,0,0,0
ERITREA,Y,Y,Y,,,,3,0,0
ESTONIA,,,,,,,0,0,0
ESWATINI,,,,,,,0,0,0
ETHIOPIA,,,,N,Y,N,1,2,0
FIJI,,,,,,,0,0,0
FINLAND,Y,Y,Y,,,,3,0,0
FRANCE,A,Y,Y,A,Y,Y,4,0,2
GABON,,,,,,,0,0,0
GAMBIA,Y,Y,Y,Y,Y,Y,6,0,0
GEORGIA,A,Y,A,A,Y,A,2,0,4
GERMANY,N,Y,A,N,Y,A,2,2,2
GHANA,Y,Y,Y,Y,Y,Y,6,0,0
GREECE,,,,,,,0,0,0
GRENADA,,,,,,,0,0,0
